GID,NUMSTAT,IDENT,ADRESSE,COMMUNE,DATESERV,LIGNCORR,NBSUPPOR,NOM,TARIF,TERMBANC,TYPEA,GEOM_O,CDATE,MDATE
117,133,132,30 place des Capucins,BORDEAUX,,58/Citéis 43/Citéis 45/Lianes 10 (spécial Train)/Lianes 11/Lianes 15/Lianes 16,20,Capucins,VLS,OUI,VCUB,0,20160617111044,20160617113652
120,2,18,"rue François de Sourdis, face au cimetière de la Chartreuse",BORDEAUX,,A/26/Lianes 1,20,St Bruno,VLS,OUI,VCUB,0,20160617111044,20160617113652
123,101,105,quai maréchal Lyautey,BORDEAUX,,C/Citéis 47,20,Place Jean Jaurès,VLS,OUI,VCUB,0,20160617111044,20160617113652
124,141,330,248 cours du Maréchal Gallieni,TALENCE,,Lianes 4,20,La Médoquine,VLS,OUI,VCUB,0,20160617111044,20160617113652
126,67,76,allée de Serr,BORDEAUX,,Citéis 45,18,Allée de Serr Abadie,VLS,OUI,VCUB,0,20160617111044,20160617113656
128,134,133,20 place du Maucaillou,BORDEAUX,,Citéis 47,19,Place du Maucaillou,VLS,OUI,VCUB,0,20160617111044,20160617113652
132,152,271,349-351 Route de Toulouse,VILLENAVE-D'ORNON,,Lianes 5/Citéis 43,20,Hôpital Robert Picqué,VLS,OUI,VCUB,0,20160617111044,20160617113652
134,172,390,Quai de Bacalan,BORDEAUX,,B,20,La Cité du Vin,VLS,OUI,VCUB,0,20160617111044,20160617113652
136,162,362,avenue Lénine,BEGLES,,C/Corol 34/Citéis 43,20,Gare de Bègles,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
138,165,360,avenue du Haut Lévêque,PESSAC,,B/Lianes 4/Corol 36/Citéis 44,20,France Alouette,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
140,122,123,77 cours Saint Louis,BORDEAUX,,Lianes 4/Citéis 45,16,St Louis Médoc,VLS,OUI,VCUB,0,20160617111044,20160617113652
144,131,130,"place Nansouty, 238 cours de l'Yser",BORDEAUX,,20/58/Lianes 5/Lianes 9/Lianes 10 (spécial Train)/Citéis 43,16,Nansouty,VLS,OUI,VCUB,0,20160617111044,20160617113652
146,132,131,118 cours de la Somme,BORDEAUX,,20/58/Lianes 10 (spécial Train)/Lianes 5,14,Cours de la Somme,VLS,OUI,VCUB,0,20160617111044,20160617113652
148,145,250,Cours de Québec,BORDEAUX,,C,17,Berges du Lac,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
151,15,30,"71, rue de la Croix Blanche",BORDEAUX,,26/83/Lianes 2/Lianes 3/Spécifique 74,14,Rue de la Croix Blanche,VLS,OUI,VCUB,0,20160617111044,20160617113652
154,125,125,"quai Ste Croix, devant le conservatoire",BORDEAUX,,C/58/Citéis 45/Lianes 10,20,Conservatoire,VLS,OUI,VCUB,0,20160617111044,20160617113652
156,73,81,face au 307 boulevard J.J. Bosc,BEGLES,,C/26/Lianes 11/Corol 36,21,Terres Neuves,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
159,167,380,avenue Descartes,SAINT-MEDARD-EN-JALLES,,Lianes 3,20,Centre commercial St Médard,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
161,56,65,place Paul Doumer,BORDEAUX,,C/Lianes 15/Lianes 4,20,Place Paul Doumer,VLS,OUI,VCUB,0,20160617111044,20160617113656
165,169,382,Rue Léopold Laplante,BRUGES,,Corol 33/Lianes 15,20,Bruges La Vache,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
167,45,54,2 place Ste Eulalie,BORDEAUX,,Citéis 45/Lianes 15/Lianes 16/Lianes 5,20,Place Ste Eulalie,VLS,OUI,VCUB,0,20160617111044,20160617113652
169,164,361,avenue du Haut Lévêque,PESSAC,,B/24/Corol 36/Citéis 44/Flexo 54 Résa,15,Hôpital Haut Lévêque,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
172,80,87,Avenue du Haut Lévêque,PESSAC,,B/Corol 36/Citéis 44,18,Gare Pessac Alouette,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
174,170,404,111 Cours du Raccordement,BORDEAUX,,L7/Corol32,20,Lucien Faure,VLS,OUI,VCUB,0,20160617111044,20160617113652
10,33,43,Rue Durieu de Maisonneuve,BORDEAUX,,56 exp/72/Lianes 5/Lianes 6/Lianes 9/29/703,18,Barrière du Médoc,VLS,OUI,VCUB,0,20160617111044,20160617113652
12,78,5,avenue Bougnard,PESSAC,,B/24/Corol 36/Flexo 54,20,Bougnard,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
14,143,284,En face du 46 rue Domion,BORDEAUX,,Lianes 3,18,Pins Francs,VLS,OUI,VCUB,0,20160617111044,20160617113652
15,25,37,97 rue François de Sourdis,BORDEAUX,,24/26,14,François de Sourdis,VLS,OUI,VCUB,0,20160617111044,20160617113652
17,159,285,Boulevard Jacques Chaban Delmas,BRUGES,,73/Flexo 57 Resa,24,Camping International,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
19,140,283,120 rue de la Béchade,BORDEAUX,,24/Citéis 41/Lianes 8,20,Charles Perrens,VLS,OUI,VCUB,0,20160617111044,20160617113652
21,36,45,face au 2 place de Longchamps,BORDEAUX,,26/29/56 exp/Lianes 5/Lianes 6,18,Place Longchamps,VLS,OUI,VCUB,0,20160617111044,20160617113652
22,62,71,avenue Jean Jaurès,CENON,,TER/A/27/Citéis 40/Flexo 51,18,Cenon Gare,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
24,155,310,Face au 10 rue Naudet,GRADIGNAN,,58/Lianes 10,24,Village 6 IUT,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
26,119,121,angle av Emile Counord / rue F. Leveque,BORDEAUX,,C,20,Grand Parc,VLS,OUI,VCUB,0,20160617111044,20160617113652
28,120,6,face au 196 cours St Louis,BORDEAUX,,Lianes 4/Corol 32,18,Saint Louis Haussmann,VLS,OUI,VCUB,0,20160617111044,20160617113656
30,1,16,"rue Claude Bonnier, niveau station tram",BORDEAUX,,A/Lianes 16,20,Mériadeck,VLS,OUI,VCUB,0,20160617111044,20160617113652
32,8,23,120 cours Maréchal Juin,BORDEAUX,,A/26,20,Patinoire,VLS,OUI,VCUB,0,20160617111044,20160617113652
33,7,22,18 cours du Maréchal Juin,BORDEAUX,,A/Lianes 15/Lianes 16/Lianes 4/Lianes 5/Lianes 6/56 exp,18,Palais de Justice,VLS,OUI,VCUB,0,20160617111044,20160617113652
36,44,53,16 cours Pasteur,BORDEAUX,,B/24/Citéis 45,20,Musée d'Aquitaine,VLS,OUI,VCUB,0,20160617111044,20160617113652
37,29,40,Place de l'Eglise St Augustin,BORDEAUX,,Citéis 42/Lianes 11/Citéis 41,20,St Augustin,VLS,OUI,VCUB,0,20160617111044,20160617113652
40,40,49,rue Esprit des Lois,BORDEAUX,,B/Citéis 47,20,Grand Théâtre,VLS,OUI,VCUB,0,20160617111044,20160617113652
42,59,68,17 quai des Chartrons,BORDEAUX,,B,18,CAPC,VLS,OUI,VCUB,0,20160617111044,20160617113656
43,68,77,73 avenue Thiers,BORDEAUX,,A/Citéis 45,18,Thiers Jardin Botanique,VLS,OUI,VCUB,0,20160617111044,20160617113656
45,74,82,2 rue Calixte Camelle,BEGLES,,Citéis 43/Lianes 11,22,Place du 14 juillet,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
47,84,91,face au 110 avenue Pierre Mendès France,MERIGNAC,,23/Citéis 42/Corol 35/Flexo 48/Flexo 54,18,Le Burck,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
49,100,104,face au 119 quai des Chartrons,BORDEAUX,,B/Citéis 46,20,Cours du Médoc,VLS,OUI,VCUB,0,20160617111044,20160617113652
50,90,97,"avenue François Mitterrand, devant le P+R",MERIGNAC,,A/Citéis 42/23/Flexo 54,18,Fontaine d'Arlac,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
52,95,100,87 av. du Général de Gaulle,BRUGES,,29/56 exp/Corol 35/Lianes 6,16,Bruges Hôtel de Ville,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
54,124,124,face au 18 quai de la Monnaie,BORDEAUX,,C,20,Parc des Sports,VLS,OUI,VCUB,0,20160617111044,20160617113652
56,121,122,face au 30 place St Martial,BORDEAUX,,Lianes 4/Citéis 45,14,Place St Martial,VLS,OUI,VCUB,0,20160617111044,20160617113652
58,24,36,face au 9 rue Léo Drouyn,BORDEAUX,,24,16,Libération,VLS,OUI,VCUB,0,20160617111044,20160617113652
60,139,138,152 cours de l'Yser,BORDEAUX,,20/58/Lianes 5/Lianes 10 (spécial Train)/Citéis 43,18,Lycée Brémontier,VLS,OUI,VCUB,0,20160617111044,20160617113652
61,41,50,9 rue des Trois Conils,BORDEAUX,,Citéis 47,18,Place St Projet,VLS,OUI,VCUB,0,20160617111044,20160617113652
63,46,55,face au 18 rue Eugène Delacroix,BORDEAUX,,C/Lianes 11,21,Belcier,VLS,OUI,VCUB,0,20160617111044,20160617113656
64,70,79,pôle d'échanges Buttinière,LORMONT,,A/27/64/67/Corol 32/Citéis 40/Flexo 68/Résago Artigues,20,Buttinière,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
66,47,56,212 rue Fernand Audeguil,BORDEAUX,,Lianes 11/Lianes 4/26,16,Magendie,VLS,OUI,VCUB,0,20160617111044,20160617113656
68,117,8,rond-point avenue des Facultés,PESSAC,,B,20,Doyen Brus,VLS,OUI,VCUB,0,20160617111044,20160617113656
70,49,58,43 rue Emile Zola,LE BOUSCAT,,56 exp/72/Lianes 6,18,Le Bouscat Mairie,VLS,OUI,VCUB,0,20160617111044,20160617113656
72,53,62,face au 230 rue Camille Godard,BORDEAUX,,72,14,Parc Rivière,VLS,OUI,VCUB,0,20160617111044,20160617113656
74,105,109,63 rue du Mirail,BORDEAUX,,Citéis 47,20,Rue du Mirail,VLS,OUI,VCUB,0,20160617111044,20160617113652
76,32,42,67 avenue Carnot,BORDEAUX,,Lianes 5,16,Parc Bordelais,VLS,OUI,VCUB,0,20160617111044,20160617113652
78,26,38,247 boulevard Maréchal Leclerc,BORDEAUX,,24/Lianes 9,16,Xaintrailles,VLS,OUI,VCUB,0,20160617111044,20160617113652
79,16,12,"avenue Thiers, face au Parc Relais",BORDEAUX,,A/28/Flexo 51/Flexo 52/Lianes 10,18,Galin,VLS,OUI,VCUB,0,20160617111044,20160617113652
81,71,80,"avenue des Griffons, terminus bus",LORMONT,,A/Lianes 7/90/Flexo 50,18,La Gardette,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
83,97,1,101 rue Joseph Brunet,BORDEAUX,,B/76,20,Claveau,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
85,18,9,78 rue du Palais Gallien,BORDEAUX,,83/Lianes 1/Lianes 16/Lianes 2/Lianes 3,14,Huguerie,VLS,OUI,VCUB,0,20160617111044,20160617113656
86,31,10,face au 7 rue de l'église,BORDEAUX,,Citéis 41/Corol 33/Lianes 2,16,Caudéran,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
88,72,15,"avenue Jean Zay, au niveau de la station Tram Jean Zay",CENON,,A/27/Flexo 51,24,Jean Zay,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
89,4,20,"place Vercingétorix, face au 37 place des martyrs de la résistance",BORDEAUX,,83/Lianes 1/Lianes 2/Lianes 3/Lianes 16,20,St Seurin,VLS,OUI,VCUB,0,20160617111044,20160617113652
90,5,21,face au 40 place Gambetta,BORDEAUX,,56exp/83/Lianes 1/Lianes 2/Lianes 3/Lianes 4/Lianes 5/Lianes 6/Lianes 15/Lianes 16/601,20,Place Gambetta,VLS,OUI,VCUB,0,20160617111044,20160617113652
92,11,26,face au 108 boulevard du Pdt Wilson,BORDEAUX,,Lianes 1/Lianes 9/Lianes 16/Spécifique 74/,20,Cité Administrative,VLS,OUI,VCUB,0,20160617111044,20160617113652
94,20,33,face au 1 place des Grands Hommes,BORDEAUX,,B/Citéis 47,20,Grands Hommes,VLS,OUI,VCUB,0,20160617111044,20160617113652
